Date,Open,High,Low,Close,Volume
2021-03-02,1196.16,1196.16,1181.99,1186.61,577000
2021-03-03,1184.73,1189.18,1180.25,1186.95,631700
2021-03-04,1191.78,1191.9,1159.48,1168.52,673500
2021-03-05,1164.19,1169.56,1155.6,1168.69,594800
2021-03-08,1180.33,1181.25,1164.02,1168.27,652700
2021-03-09,1160.96,1166.42,1150.94,1161.97,641400
2021-03-10,1163.86,1170.59,1154.89,1170.08,723900
2021-03-11,1170.08,1183.73,1170.08,1181.73,629100
2021-03-12,1185.21,1186.52,1178.14,1181.56,624700
2021-03-15,1183.89,1186.06,1178.8,1184.56,677000
2021-03-16,1184.91,1184.91,1171.76,1179.9,6800
2021-03-17,1178.64,1186.09,1176.26,1186.09,7000
2021-03-18,1196.6,1200.94,1191.94,1200.94,628600
2021-03-19,1195.47,1199.67,1191.96,1194.05,680900
2021-03-22,1200.05,1200.21,1189.31,1194.43,700900
2021-03-23,1190.28,1191.47,1177.1,1183.45,683700
2021-03-24,1169.42,1174.2,1154.22,1161.81,750500
2021-03-25,1164.41,1170.76,1154.44,1163.1,690700
2021-03-26,1162.71,1165.76,1137.9,1162.21,670500
2021-03-29,1169.65,1175.77,1165.78,1175.68,661000
2021-03-30,1179.64,1187.29,1172.85,1186.36,780700
2021-03-31,1186.36,1196.45,1186.36,1191.44,703100
2021-04-01,1194.59,1217.26,1192.83,1216.1,672800
2021-04-02,1224.45,1228.29,1221.07,1224.45,588762600
2021-04-05,1245.28,1245.28,1228.18,1236.05,693000
2021-04-06,1233.37,1244.63,1231.14,1239.96,694100
2021-04-07,1237.39,1242.38,1232.52,1242.38,727800
2021-04-08,1242.38,1246.4,1232.26,1234.89,664500
2021-04-09,1231.51,1234.98,1227.6,1231.66,732800
2021-04-12,1236.79,1252.45,1232.35,1252.45,890300
2021-04-13,1262.44,1268.02,1247.66,1248.33,1027100
2021-04-14,1240.9,1255.87,1233.01,1255.87,862000
2021-04-15,1262.25,1265.87,1247.25,1247.25,806500
2021-04-16,1245.06,1254.61,1227.14,1238.71,986900
2021-04-19,1243.58,1260.58,1233.77,1260.58,817100
2021-04-20,1267.74,1286.32,1261.28,1268.28,843600
2021-04-22,1264.31,1271.98,1227.82,1227.82,770400
2021-04-23,1227.18,1248.53,1216.15,1248.53,716500
2021-04-26,1251.25,1251.25,1214.14,1215.77,744900
2021-04-27,1213.84,1220.96,1204.14,1219.75,618200
2021-04-28,1220.26,1230.91,1217.49,1229.55,612700
2021-04-29,1234.91,1239.39,1231.25,1239.39,647200
2021-05-04,1222.08,1242.8,1212.56,1242.2,798500
2021-05-05,1244.69,1265.93,1244.69,1256.43,744400
2021-05-06,1255.42,1261.49,1246.64,1250.57,730500
2021-05-07,1245.48,1250.5,1231.92,1241.81,783000
2021-05-10,1239.96,1259.58,1236.85,1259.58,773100
2021-05-11,1265.11,1272.55,1256.04,1256.04,770100
2021-05-12,1251.97,1269.09,1249.18,1269.09,700700
2021-05-13,1262.98,1273.49,1261.99,1261.99,711500
2021-05-14,1266.43,1271.45,1259.97,1266.36,731000
2021-05-17,1272.55,1277.83,1258.5,1258.7,758300
2021-05-18,1259.57,1262.22,1249.02,1252.68,692500
2021-05-19,1254.78,1262.71,1250.58,1262.49,694400
2021-05-20,1264.62,1278.22,1255.78,1278.22,745200
2021-05-21,1272.84,1289.03,1268.46,1283.93,698900
2021-05-24,1287.5,1299.83,1287.36,1297.98,715500
2021-05-25,1299.19,1308.58,1297.23,1308.58,679100
2021-05-26,1308.04,1317.3,1304.68,1316.7,713100
2021-05-27,1318.42,1319.67,1299.99,1303.57,733000
2021-05-28,1307.79,1323.09,1300.06,1320.46,768900
2021-05-31,1328.05,1328.05,1307.56,1328.05,685028300
2021-06-01,1329.47,1346.34,1328.84,1337.78,629400
2021-06-02,1337.78,1344.98,1330.82,1340.78,805200
2021-06-03,1345.21,1366.0,1345.21,1364.28,898900
2021-06-04,1367.06,1374.05,1360.42,1374.05,943300
2021-06-07,1374.59,1375.74,1347.21,1358.78,876700
2021-06-08,1355.36,1364.48,1318.11,1319.88,924500
2021-06-09,1323.52,1339.14,1312.08,1332.9,822300
2021-06-10,1332.9,1336.71,1317.49,1323.58,723500
2021-06-11,1326.79,1352.47,1322.08,1351.74,731300
2021-06-14,1352.73,1368.53,1352.73,1361.72,775700
2021-06-15,1361.58,1372.72,1356.59,1367.36,730900
2021-06-16,1363.85,1370.14,1350.73,1356.52,769600
2021-06-17,1341.06,1364.55,1337.49,1359.92,768700
2021-06-18,1366.19,1377.77,1363.52,1377.77,809500
2021-06-21,1373.59,1381.74,1367.85,1372.63,768200
2021-06-22,1380.84,1385.98,1375.0,1379.97,746900
2021-06-23,1383.15,1388.33,1372.06,1376.87,710800
2021-06-24,1376.87,1384.71,1372.99,1379.72,591700
2021-06-25,1382.11,1390.12,1372.8,1390.12,598100
2021-06-28,1397.96,1406.02,1390.56,1405.81,699500
2021-06-29,1408.34,1416.34,1406.87,1410.04,647400
2021-06-30,1410.83,1419.61,1408.18,1408.55,595300
2021-07-01,1412.15,1417.27,1402.18,1417.08,753600
2021-07-02,1422.89,1424.28,1415.82,1420.27,706800
2021-07-05,1411.13,1421.52,1394.12,1411.13,763287300
2021-07-06,1411.13,1418.99,1354.79,1354.79,773500
2021-07-07,1354.79,1388.55,1334.58,1388.55,733800
2021-07-08,1388.55,1388.55,1363.92,1374.68,528800
2021-07-09,1374.68,1374.68,1335.9,1347.14,714000
2021-07-12,1347.14,1347.14,1270.06,1296.3,912700
2021-07-13,1296.3,1307.73,1278.3,1297.54,500200
2021-07-14,1297.54,1305.37,1264.68,1279.91,548000
2021-07-15,1279.91,1299.18,1270.77,1293.92,419100
2021-07-16,1293.92,1304.37,1293.92,1299.31,415100
2021-07-19,1299.31,1299.31,1237.79,1243.51,731000
2021-07-20,1243.51,1273.29,1225.52,1273.29,568600
2021-07-21,1273.29,1284.33,1266.71,1270.79,452000
2021-07-22,1270.79,1294.16,1266.54,1293.67,536400
2021-07-23,1293.67,1295.63,1268.83,1268.83,582300
2021-07-26,1268.83,1277.33,1254.57,1272.71,508500
2021-07-27,1272.71,1288.35,1272.71,1276.93,566700
2021-07-28,1276.93,1281.17,1271.78,1277.07,406900
